org_row,route_id,direction_id,date,stop_id,on_time_rate,schedule_waiting_time,actual_waiting_time,excess_waiting_time,weighted_excess,a_devided_s,LIGNE
4173,46,1,20210920,2737,0.1333333333333333,"[4.614746795253403, 5.125307692307692]","[8.724826069156181, 5.789536651815857]","[4.1100792739027785, 0.664228959508165]",2.106677928324515,0.7543859649122807,048b
4174,46,1,20210920,2733,0.2166666666666666,"[4.571428571428571, 6.063685636856369]","[5.525310778495864, 5.856720093767842]","[0.9538822070672932, -0.20696554308852733]",0.1596179569606791,1.2719298245614037,048b
4175,46,0,20210920,2733,0.2045454545454545,[4.7375],[5.9018434821137795],[1.1643434821137797],1.16434348211378,1.2719298245614037,048b
4176,46,0,20210920,1063,0.7045454545454546,[4.7375],[6.2942249674732125],[1.5567249674732127],1.5567249674732129,0.8333333333333334,048b
4177,46,0,20210920,1167,0.5217391304347826,"[4.737796565053353, 6.24310672249735]","[11.670622469325938, 7.512725754073577]","[6.932825904272585, 1.2696190315762266]",3.5029963898226777,0.7894736842105263,048b
4178,46,0,20210920,1168,0.4347826086956521,"[4.756538479273297, 6.221332095676271]","[7.092212061589563, 6.83966224974665]","[2.3356735823162653, 0.618330154070379]",1.2955923511250949,0.7982456140350878,048b
4179,46,0,20210920,1169,0.4042553191489361,"[4.721739130434782, 6.20873786407767]","[6.164859767032894, 6.595889863700902]","[1.4431206365981115, 0.38715199962323155]",0.7944541881706852,0.868421052631579,048b
4180,46,0,20210920,2780,0.4033613445378151,"[2.489010989010989, 3.182926829268293, 4.1, 2.990566037735849, 2.9680851063829787]","[9.739263570929984, 3.561404946922993, 4.257309588654279, 3.8417074428961544, 2.9856094671861997]","[7.2502525819189945, 0.3784781176547001, 0.1573095886542797, 0.8511414051603055, 0.01752436080322095]",2.922281055537584,0.852760736196319,048b
4181,46,0,20210920,2539,0.3220338983050847,"[2.963006535947712, 3.182926829268293, 3.4404444444444446, 2.9808666666666666]","[4.997102399118253, 5.051045353460439, 4.117562450998061, 4.581744201659409]","[2.034095863170541, 1.868118524192146, 0.677118006553616, 1.6008775349927422]",1.748079882228586,0.7914110429447853,048b
4182,46,0,20210920,2777,0.345679012345679,"[3.7243559963621173, 3.182926829268293, 3.005842963361104]","[7.3511184288795555, 9.261642921766477, 4.42789774255755]","[3.626762432517438, 6.078716092498183, 1.4220547791964462]",3.21407758832864,0.7876712328767124,048b
4183,46,0,20210920,2774,0.3333333333333333,"[3.7127531210065863, 3.182926829268293, 3.0228032728566347]","[6.801172785059441, 6.3052465551895915, 5.178596809784591]","[3.0884196640528545, 3.1223197259212987, 2.1557935369279564]",2.799182888312852,0.7602739726027398,048b
4184,46,0,20210920,2772,0.345679012345679,"[3.7322982430382226, 3.182926829268293, 3.0235840668622744]","[5.738530556930915, 6.927447627336558, 6.436096646948644]","[2.006232313892692, 3.744520798068265, 3.4125125800863696]",2.6468676528879134,0.7945205479452054,048b
4185,46,0,20210920,2407,0.3333333333333333,"[3.731739766081871, 3.182926829268293, 2.995343202631813]","[6.102356014414551, 4.960952641246379, 6.393392461337484]","[2.37061624833268, 1.7780258119780865, 3.398049258705671]",2.6257991445808093,0.821917808219178,048b
4186,46,0,20210920,2408,0.3086419753086419,"[3.7234567224536526, 3.182926829268293, 2.9961400000000005]","[6.59780967034509, 9.027669045291423, 7.009794885951242]","[2.874352947891438, 5.84474221602313, 4.013654885951241]",3.571892330496712,0.7808219178082192,048b
4187,46,0,20210920,2957,0.2528735632183908,"[2.6686046511627906, 3.182926829268293, 2.996]","[8.055641979568952, 20.5, 62.5]","[5.387037328406161, 17.317073170731707, 59.504]",25.1718598747703,0.5,048b
4188,46,0,20210920,5810,0.1842105263157894,"[2.668547136905339, 3.182926829268293, 2.997213496218732]","[8.074833832353455, 20.5, 58.28873121319789]","[5.406286695448117, 17.317073170731707, 55.29151771697916]",28.32074611009013,0.4041095890410959,048b
4189,46,0,20210920,5811,0.2105263157894736,"[2.668589743589744, 3.182926829268293, 2.9971335078534036]","[7.487087887641894, 20.5, 3.357776545113027]","[4.81849814405215, 17.317073170731707, 0.36064303725962343]",4.198490008384821,0.4246575342465753,048b
4190,46,0,20210920,2410,0.25,"[2.6689461449050755, 3.182926829268293, 2.997213496218732]","[6.010068956324932, 20.5, 8.993848136328]","[3.341122811419856, 17.317073170731707, 5.996634640109267]",5.965326669594137,0.6986301369863014,048b
4191,46,0,20210920,2411B,0.25,"[2.679096017983301, 3.182926829268293, 2.99729639325189]","[5.401231348259083, 13.380525000000004, 5.392218314599677]","[2.722135330275782, 10.19759817073171, 2.3949219213477866]",3.366946649078724,0.7465753424657534,048b
4192,46,0,20210920,2937B,0.3157894736842105,"[2.679190751445087, 3.182926829268293, 2.9973821989528795]","[5.5067900837030646, 1.6119833333333493, 5.4693403598586325]","[2.8275993322579778, -1.5709434959349435, 2.471958160905753]",2.210171683834731,0.7945205479452054,048b
4193,46,0,20210920,2412,0.25,"[2.6780411046885035, 3.182926829268293, 2.9973821989528795]","[5.584647373790751, 4.436543562827634, 5.912675143338856]","[2.906606269102247, 1.253616733559341, 2.915292944385976]",2.7363792164709286,0.7534246575342466,048b
4194,46,0,20210920,2633,0.2631578947368421,"[2.6510661528580606, 3.182926829268293, 2.9973821989528795]","[5.770681248340142, 4.20144865647271, 6.5791592221748925]","[3.1196150954820814, 1.0185218272044172, 3.581777023222013]",3.0991229569188765,0.773972602739726,048b
